run,seed,controller,total_energy_normalized,average_power_normalized,total_energy_physical,average_power_physical,yaw_movement_count,oscillation_count
1,42,rule,17101.281538734947,85.50640769367473,42120604.19206342,210603.0209603171,197,1
1,42,pid,17101.281538734947,85.50640769367473,42120604.19206342,210603.0209603171,197,1
1,42,rl,2968.043209445941,14.840216047229706,7310316.069988635,36551.58034994318,139,22
2,43,rule,5173.0230410583035,25.865115205291517,12741200.44718937,63706.00223594685,197,3
2,43,pid,5135.024994124072,25.67512497062036,12647610.929271486,63238.05464635743,197,3
2,43,rl,2008.5552729461288,10.042776364730644,4947088.992016215,24735.444960081073,191,30
