mode,controller,total_energy_mean,total_energy_std,average_power_mean,average_power_std,yaw_movement_frequency_mean,control_stability_mean,mean_abs_misalignment_mean
normalized,rule,159652.41906221915,49250.8998672613,159.65241906221917,49.2508998672613,0.9953,0.4650150687663466,86.23613235048049
normalized,pid,157750.36290015717,50223.98651336075,157.75036290015717,50.22398651336076,0.9970000000000001,0.4757576546138744,86.77738503247721
normalized,rl,135215.98928722585,36100.832527273786,135.21598928722582,36.10083252727379,0.9884999999999999,0.386174960443569,91.45001410394718
physical,rule,393225287.6133063,121305391.92124894,393225.28761330625,121305.39192124894,0.9953,0.4650150687663466,86.23613235048049
physical,pid,388540506.8515941,123702112.73846377,388540.5068515941,123702.11273846377,0.9970000000000001,0.4757576546138744,86.77738503247721
physical,rl,333038149.936618,88916662.4408285,333038.14993661793,88916.6624408285,0.9884999999999999,0.386174960443569,91.45001410394718
