controller,yaw_movement_frequency_mean,yaw_movement_frequency_std,control_stability_mean,control_stability_std,mean_abs_misalignment_mean,mean_abs_misalignment_std
pid,0.9970000000000001,0.0,0.4757576546138744,0.01709186132145884,86.77738503247721,8.987122272355032
rl,0.7207,0.04401779943007904,0.23754130127955478,0.015885410519587424,95.97912794041471,7.088837704009317
rule,0.9953,0.005375872022286252,0.4650150687663466,0.01802320191264903,86.23613235048049,8.74059113854096
